song_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
1pfgsjmxVZhoZpeDx6POKv,0.66,0.788,0,-5.844,1,0.0374,0.00464,0,0.179,0.494,120.048,audio_features,1pfgsjmxVZhoZpeDx6POKv,spotify:track:1pfgsjmxVZhoZpeDx6POKv,https://api.spotify.com/v1/tracks/1pfgsjmxVZhoZpeDx6POKv,https://api.spotify.com/v1/audio-analysis/1pfgsjmxVZhoZpeDx6POKv,205793,4
7jr3iPu4O4bTCVwLMbdU2i,0.678,0.729,8,-4.188,1,0.137,0.0658,0,0.303,0.643,99.895,audio_features,7jr3iPu4O4bTCVwLMbdU2i,spotify:track:7jr3iPu4O4bTCVwLMbdU2i,https://api.spotify.com/v1/tracks/7jr3iPu4O4bTCVwLMbdU2i,https://api.spotify.com/v1/audio-analysis/7jr3iPu4O4bTCVwLMbdU2i,189173,4
0ySwEFQoOhVaGBky9iCdFJ,0.576,0.719,11,-5.163,1,0.0397,0.156,0,0.305,0.545,94.921,audio_features,0ySwEFQoOhVaGBky9iCdFJ,spotify:track:0ySwEFQoOhVaGBky9iCdFJ,https://api.spotify.com/v1/tracks/0ySwEFQoOhVaGBky9iCdFJ,https://api.spotify.com/v1/audio-analysis/0ySwEFQoOhVaGBky9iCdFJ,205409,4
6iMoJ3UdrO2ZjzzcaN8Eom,0.675,0.849,0,-3.841,1,0.0675,0.0938,0,0.121,0.681,100.111,audio_features,6iMoJ3UdrO2ZjzzcaN8Eom,spotify:track:6iMoJ3UdrO2ZjzzcaN8Eom,https://api.spotify.com/v1/tracks/6iMoJ3UdrO2ZjzzcaN8Eom,https://api.spotify.com/v1/audio-analysis/6iMoJ3UdrO2ZjzzcaN8Eom,238667,4
0N8MGHEDAq29ip7RrlrTeN,0.537,0.837,0,-4.477,1,0.039,0.19,0,0.348,0.533,90.083,audio_features,0N8MGHEDAq29ip7RrlrTeN,spotify:track:0N8MGHEDAq29ip7RrlrTeN,https://api.spotify.com/v1/tracks/0N8MGHEDAq29ip7RrlrTeN,https://api.spotify.com/v1/audio-analysis/0N8MGHEDAq29ip7RrlrTeN,206120,4
6rrTr2HEAzlpC4KWZxF3S1,0.757,0.849,5,-3.424,0,0.0536,0.173,0,0.0878,0.826,150.036,audio_features,6rrTr2HEAzlpC4KWZxF3S1,spotify:track:6rrTr2HEAzlpC4KWZxF3S1,https://api.spotify.com/v1/tracks/6rrTr2HEAzlpC4KWZxF3S1,https://api.spotify.com/v1/audio-analysis/6rrTr2HEAzlpC4KWZxF3S1,228207,4
0kg36eEw4un3UwGvnf93xT,0.631,0.624,1,-5.504,1,0.0597,0.0718,0,0.145,0.392,179.925,audio_features,0kg36eEw4un3UwGvnf93xT,spotify:track:0kg36eEw4un3UwGvnf93xT,https://api.spotify.com/v1/tracks/0kg36eEw4un3UwGvnf93xT,https://api.spotify.com/v1/audio-analysis/0kg36eEw4un3UwGvnf93xT,203912,4
5N5k9nd479b1xpDZ4usjrg,0.781,0.768,11,-5.991,1,0.0394,0.0119,4.91E-06,0.325,0.486,123.07,audio_features,5N5k9nd479b1xpDZ4usjrg,spotify:track:5N5k9nd479b1xpDZ4usjrg,https://api.spotify.com/v1/tracks/5N5k9nd479b1xpDZ4usjrg,https://api.spotify.com/v1/audio-analysis/5N5k9nd479b1xpDZ4usjrg,213309,4
7FjZU7XFs7P9jHI9Z0yRhK,0.7,0.872,10,-5.896,1,0.0666,0.121,7.08E-06,0.103,0.761,125.03,audio_features,7FjZU7XFs7P9jHI9Z0yRhK,spotify:track:7FjZU7XFs7P9jHI9Z0yRhK,https://api.spotify.com/v1/tracks/7FjZU7XFs7P9jHI9Z0yRhK,https://api.spotify.com/v1/audio-analysis/7FjZU7XFs7P9jHI9Z0yRhK,190302,4
0v3BMLcwUmAwyqJaf5997o,0.732,0.922,6,-1.829,0,0.0975,0.0348,0,0.146,0.589,120.033,audio_features,0v3BMLcwUmAwyqJaf5997o,spotify:track:0v3BMLcwUmAwyqJaf5997o,https://api.spotify.com/v1/tracks/0v3BMLcwUmAwyqJaf5997o,https://api.spotify.com/v1/audio-analysis/0v3BMLcwUmAwyqJaf5997o,218250,4
0CZ8lquoTX2Dkg7Ak2inwA,0.6,0.535,4,-7.043,1,0.107,0.648,4.7E-06,0.162,0.269,71.912,audio_features,0CZ8lquoTX2Dkg7Ak2inwA,spotify:track:0CZ8lquoTX2Dkg7Ak2inwA,https://api.spotify.com/v1/tracks/0CZ8lquoTX2Dkg7Ak2inwA,https://api.spotify.com/v1/audio-analysis/0CZ8lquoTX2Dkg7Ak2inwA,225133,4
6Yx181fZzA0YE2EkUsYruq,0.693,0.604,11,-5.279,1,0.0427,0.0668,0,0.114,0.651,75.014,audio_features,6Yx181fZzA0YE2EkUsYruq,spotify:track:6Yx181fZzA0YE2EkUsYruq,https://api.spotify.com/v1/tracks/6Yx181fZzA0YE2EkUsYruq,https://api.spotify.com/v1/audio-analysis/6Yx181fZzA0YE2EkUsYruq,179930,4
5Ef2noaxqTAfa5gLVw05OJ,0.745,0.719,11,-4.291,1,0.19,0.0352,0,0.0639,0.611,99.962,audio_features,5Ef2noaxqTAfa5gLVw05OJ,spotify:track:5Ef2noaxqTAfa5gLVw05OJ,https://api.spotify.com/v1/tracks/5Ef2noaxqTAfa5gLVw05OJ,https://api.spotify.com/v1/audio-analysis/5Ef2noaxqTAfa5gLVw05OJ,191255,4
2CLB3YjyYcuWVckL9pCm1i,0.854,0.623,2,-5.39,1,0.066,0.461,6.73E-05,0.0559,0.822,113.047,audio_features,2CLB3YjyYcuWVckL9pCm1i,spotify:track:2CLB3YjyYcuWVckL9pCm1i,https://api.spotify.com/v1/tracks/2CLB3YjyYcuWVckL9pCm1i,https://api.spotify.com/v1/audio-analysis/2CLB3YjyYcuWVckL9pCm1i,180875,4
6zTKuNMEU3svBn65L6u88M,0.768,0.589,8,-8.991,0,0.0403,0.00417,2.67E-05,0.136,0.757,97.979,audio_features,6zTKuNMEU3svBn65L6u88M,spotify:track:6zTKuNMEU3svBn65L6u88M,https://api.spotify.com/v1/tracks/6zTKuNMEU3svBn65L6u88M,https://api.spotify.com/v1/audio-analysis/6zTKuNMEU3svBn65L6u88M,199380,4
4ut5G4rgB1ClpMTMfjoIuy,0.414,0.486,6,-6.431,0,0.0311,0.0129,0,0.111,0.368,128.038,audio_features,4ut5G4rgB1ClpMTMfjoIuy,spotify:track:4ut5G4rgB1ClpMTMfjoIuy,https://api.spotify.com/v1/tracks/4ut5G4rgB1ClpMTMfjoIuy,https://api.spotify.com/v1/audio-analysis/4ut5G4rgB1ClpMTMfjoIuy,230762,4
3gFgp6Ofp808Kc2qLQiN5e,0.707,0.674,1,-5.578,1,0.177,0.0901,0,0.115,0.928,95.02,audio_features,3gFgp6Ofp808Kc2qLQiN5e,spotify:track:3gFgp6Ofp808Kc2qLQiN5e,https://api.spotify.com/v1/tracks/3gFgp6Ofp808Kc2qLQiN5e,https://api.spotify.com/v1/audio-analysis/3gFgp6Ofp808Kc2qLQiN5e,190280,4
0xmoM6wDCmPuzdPJc7xqPb,0.752,0.764,1,-4.399,1,0.038,0.0476,9.44E-05,0.0543,0.582,121.958,audio_features,0xmoM6wDCmPuzdPJc7xqPb,spotify:track:0xmoM6wDCmPuzdPJc7xqPb,https://api.spotify.com/v1/tracks/0xmoM6wDCmPuzdPJc7xqPb,https://api.spotify.com/v1/audio-analysis/0xmoM6wDCmPuzdPJc7xqPb,163216,4
