song_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0dMt4exDdaANxfGA8JiThz,0.465,0.756,8,-4.114,1,0.0314,0.308,0.0461,0.0818,0.128,95.035,audio_features,0dMt4exDdaANxfGA8JiThz,spotify:track:0dMt4exDdaANxfGA8JiThz,https://api.spotify.com/v1/tracks/0dMt4exDdaANxfGA8JiThz,https://api.spotify.com/v1/audio-analysis/0dMt4exDdaANxfGA8JiThz,312000,4
7eNF3i7lHKtRwlvMfbNu9M,0.744,0.727,6,-5.163,1,0.0877,0.0499,0,0.186,0.596,120.105,audio_features,7eNF3i7lHKtRwlvMfbNu9M,spotify:track:7eNF3i7lHKtRwlvMfbNu9M,https://api.spotify.com/v1/tracks/7eNF3i7lHKtRwlvMfbNu9M,https://api.spotify.com/v1/audio-analysis/7eNF3i7lHKtRwlvMfbNu9M,209920,4
6DgSccuezRRDDrifyjQXoM,0.527,0.711,1,-6.031,1,0.0656,0.383,0,0.0932,0.328,109.903,audio_features,6DgSccuezRRDDrifyjQXoM,spotify:track:6DgSccuezRRDDrifyjQXoM,https://api.spotify.com/v1/tracks/6DgSccuezRRDDrifyjQXoM,https://api.spotify.com/v1/audio-analysis/6DgSccuezRRDDrifyjQXoM,217733,4
7DSBxP0sGTuEb249LMJSLY,0.647,0.81,2,-5.804,1,0.0521,0.0658,0.00236,0.237,0.648,108.011,audio_features,7DSBxP0sGTuEb249LMJSLY,spotify:track:7DSBxP0sGTuEb249LMJSLY,https://api.spotify.com/v1/tracks/7DSBxP0sGTuEb249LMJSLY,https://api.spotify.com/v1/audio-analysis/7DSBxP0sGTuEb249LMJSLY,172222,4
083Qf6hn6sFL6xiOHlZUyn,0.623,0.851,7,-3.111,1,0.0409,0.0228,0,0.12,0.4,100.063,audio_features,083Qf6hn6sFL6xiOHlZUyn,spotify:track:083Qf6hn6sFL6xiOHlZUyn,https://api.spotify.com/v1/tracks/083Qf6hn6sFL6xiOHlZUyn,https://api.spotify.com/v1/audio-analysis/083Qf6hn6sFL6xiOHlZUyn,193924,4
3YNZMYYdzaza8D2xd2ITFo,0.765,0.719,8,-7.283,1,0.0581,0.305,0.000468,0.17,0.458,125.988,audio_features,3YNZMYYdzaza8D2xd2ITFo,spotify:track:3YNZMYYdzaza8D2xd2ITFo,https://api.spotify.com/v1/tracks/3YNZMYYdzaza8D2xd2ITFo,https://api.spotify.com/v1/audio-analysis/3YNZMYYdzaza8D2xd2ITFo,165079,4
0wsflw6A3Qrbrl3YbWK8tx,0.59,0.697,4,-5.915,0,0.0388,0.00902,0,0.108,0.212,94.967,audio_features,0wsflw6A3Qrbrl3YbWK8tx,spotify:track:0wsflw6A3Qrbrl3YbWK8tx,https://api.spotify.com/v1/tracks/0wsflw6A3Qrbrl3YbWK8tx,https://api.spotify.com/v1/audio-analysis/0wsflw6A3Qrbrl3YbWK8tx,196812,4
5W8DSMQe7cbTtKTHY0yEnP,0.481,0.729,5,-4.351,0,0.0365,0.00833,0,0.103,0.297,91.985,audio_features,5W8DSMQe7cbTtKTHY0yEnP,spotify:track:5W8DSMQe7cbTtKTHY0yEnP,https://api.spotify.com/v1/tracks/5W8DSMQe7cbTtKTHY0yEnP,https://api.spotify.com/v1/audio-analysis/5W8DSMQe7cbTtKTHY0yEnP,204783,4
5sdb5pMhcK44SSLsj1moUh,0.775,0.872,6,-4.194,1,0.0469,0.033,0.0579,0.298,0.379,122.994,audio_features,5sdb5pMhcK44SSLsj1moUh,spotify:track:5sdb5pMhcK44SSLsj1moUh,https://api.spotify.com/v1/tracks/5sdb5pMhcK44SSLsj1moUh,https://api.spotify.com/v1/audio-analysis/5sdb5pMhcK44SSLsj1moUh,191496,4
3rcnZD0l4NPyyQ9CecXfy9,0.487,0.846,2,-4.016,1,0.0555,0.225,0.355,0.41,0.367,122.978,audio_features,3rcnZD0l4NPyyQ9CecXfy9,spotify:track:3rcnZD0l4NPyyQ9CecXfy9,https://api.spotify.com/v1/tracks/3rcnZD0l4NPyyQ9CecXfy9,https://api.spotify.com/v1/audio-analysis/3rcnZD0l4NPyyQ9CecXfy9,193171,4
0Vcv54XfyE2oktzHSZMxhr,0.613,0.731,8,-3.993,1,0.0625,0.177,0,0.107,0.322,107.071,audio_features,0Vcv54XfyE2oktzHSZMxhr,spotify:track:0Vcv54XfyE2oktzHSZMxhr,https://api.spotify.com/v1/tracks/0Vcv54XfyE2oktzHSZMxhr,https://api.spotify.com/v1/audio-analysis/0Vcv54XfyE2oktzHSZMxhr,226542,4
3MkIlbOnu8UCMt26nOQ31P,0.681,0.705,10,-7.866,1,0.0344,0.148,0.772,0.12,0.0395,118.016,audio_features,3MkIlbOnu8UCMt26nOQ31P,spotify:track:3MkIlbOnu8UCMt26nOQ31P,https://api.spotify.com/v1/tracks/3MkIlbOnu8UCMt26nOQ31P,https://api.spotify.com/v1/audio-analysis/3MkIlbOnu8UCMt26nOQ31P,202881,3
0qscIsYCxSWh66upVCgIHi,0.733,0.82,5,-4.973,1,0.0337,0.548,0.539,0.229,0.115,124.935,audio_features,0qscIsYCxSWh66upVCgIHi,spotify:track:0qscIsYCxSWh66upVCgIHi,https://api.spotify.com/v1/tracks/0qscIsYCxSWh66upVCgIHi,https://api.spotify.com/v1/audio-analysis/0qscIsYCxSWh66upVCgIHi,192960,4
4CCLVW7kCXSA8nLbl1lYYs,0.522,0.558,6,-5.497,1,0.126,0.376,0,0.162,0.403,182.021,audio_features,4CCLVW7kCXSA8nLbl1lYYs,spotify:track:4CCLVW7kCXSA8nLbl1lYYs,https://api.spotify.com/v1/tracks/4CCLVW7kCXSA8nLbl1lYYs,https://api.spotify.com/v1/audio-analysis/4CCLVW7kCXSA8nLbl1lYYs,208352,4
5CLGzJsGqhCEECcpnFQA8x,0.653,0.809,0,-4.057,1,0.0474,0.194,0,0.165,0.55,92.213,audio_features,5CLGzJsGqhCEECcpnFQA8x,spotify:track:5CLGzJsGqhCEECcpnFQA8x,https://api.spotify.com/v1/tracks/5CLGzJsGqhCEECcpnFQA8x,https://api.spotify.com/v1/audio-analysis/5CLGzJsGqhCEECcpnFQA8x,210773,4
3h6o86y22SoLnFbqIcW48N,0.591,0.835,9,-3.149,1,0.0371,0.0265,2.4E-06,0.0944,0.64,123.982,audio_features,3h6o86y22SoLnFbqIcW48N,spotify:track:3h6o86y22SoLnFbqIcW48N,https://api.spotify.com/v1/tracks/3h6o86y22SoLnFbqIcW48N,https://api.spotify.com/v1/audio-analysis/3h6o86y22SoLnFbqIcW48N,205161,4
22rQTTEmj9aXKmep11k2IW,0.727,0.813,6,-5.88,0,0.0387,0.155,0.0454,0.279,0.365,124.029,audio_features,22rQTTEmj9aXKmep11k2IW,spotify:track:22rQTTEmj9aXKmep11k2IW,https://api.spotify.com/v1/tracks/22rQTTEmj9aXKmep11k2IW,https://api.spotify.com/v1/audio-analysis/22rQTTEmj9aXKmep11k2IW,183436,4
6179WQbZYf2WXoVne3mN6d,0.69,0.768,9,-5.004,1,0.0566,0.044,0.017,0.108,0.252,122.049,audio_features,6179WQbZYf2WXoVne3mN6d,spotify:track:6179WQbZYf2WXoVne3mN6d,https://api.spotify.com/v1/tracks/6179WQbZYf2WXoVne3mN6d,https://api.spotify.com/v1/audio-analysis/6179WQbZYf2WXoVne3mN6d,187131,4
0wUxh6XMc698xPCfgBaPRV,0.532,0.639,5,-7.419,0,0.0388,0.0507,0.00131,0.106,0.198,105,audio_features,0wUxh6XMc698xPCfgBaPRV,spotify:track:0wUxh6XMc698xPCfgBaPRV,https://api.spotify.com/v1/tracks/0wUxh6XMc698xPCfgBaPRV,https://api.spotify.com/v1/audio-analysis/0wUxh6XMc698xPCfgBaPRV,193399,4
0WSJUE47g4OEpaMzL6svD7,0.469,0.871,8,-5.18,0,0.0728,0.0816,3.66E-05,0.118,0.138,141.882,audio_features,0WSJUE47g4OEpaMzL6svD7,spotify:track:0WSJUE47g4OEpaMzL6svD7,https://api.spotify.com/v1/tracks/0WSJUE47g4OEpaMzL6svD7,https://api.spotify.com/v1/audio-analysis/0WSJUE47g4OEpaMzL6svD7,263978,4
4hMea4T082fdFUZ9UP9WZO,0.476,0.871,7,-3.996,1,0.0345,0.00123,0.747,0.286,0.104,90.002,audio_features,4hMea4T082fdFUZ9UP9WZO,spotify:track:4hMea4T082fdFUZ9UP9WZO,https://api.spotify.com/v1/tracks/4hMea4T082fdFUZ9UP9WZO,https://api.spotify.com/v1/audio-analysis/4hMea4T082fdFUZ9UP9WZO,229907,4
7vVIT1ywbtXgRIY89u5kEH,0.651,0.711,3,-5.062,0,0.0378,0.111,6.13E-05,0.0488,0.425,125.089,audio_features,7vVIT1ywbtXgRIY89u5kEH,spotify:track:7vVIT1ywbtXgRIY89u5kEH,https://api.spotify.com/v1/tracks/7vVIT1ywbtXgRIY89u5kEH,https://api.spotify.com/v1/audio-analysis/7vVIT1ywbtXgRIY89u5kEH,191954,4
0sdmL5wJS5QTqSDKyYdjtr,0.668,0.799,7,-6.815,1,0.0494,0.146,4.64E-05,0.099,0.444,139.903,audio_features,0sdmL5wJS5QTqSDKyYdjtr,spotify:track:0sdmL5wJS5QTqSDKyYdjtr,https://api.spotify.com/v1/tracks/0sdmL5wJS5QTqSDKyYdjtr,https://api.spotify.com/v1/audio-analysis/0sdmL5wJS5QTqSDKyYdjtr,184286,4
1D8883ZcorW3B2x8HDnrb4,0.552,0.821,5,-4.241,1,0.026,0.036,0.0851,0.0618,0.401,126.954,audio_features,1D8883ZcorW3B2x8HDnrb4,spotify:track:1D8883ZcorW3B2x8HDnrb4,https://api.spotify.com/v1/tracks/1D8883ZcorW3B2x8HDnrb4,https://api.spotify.com/v1/audio-analysis/1D8883ZcorW3B2x8HDnrb4,227244,4
0gqxf8wrEkewjmZB7OT4mL,0.665,0.639,2,-7.747,1,0.0276,0.121,0.327,0.0952,0.642,100.082,audio_features,0gqxf8wrEkewjmZB7OT4mL,spotify:track:0gqxf8wrEkewjmZB7OT4mL,https://api.spotify.com/v1/tracks/0gqxf8wrEkewjmZB7OT4mL,https://api.spotify.com/v1/audio-analysis/0gqxf8wrEkewjmZB7OT4mL,214160,4
1z9tECYvYsvautkr8G2XDK,0.371,0.921,9,-5.533,1,0.0784,0.0113,2.7E-05,0.43,0.508,109.675,audio_features,1z9tECYvYsvautkr8G2XDK,spotify:track:1z9tECYvYsvautkr8G2XDK,https://api.spotify.com/v1/tracks/1z9tECYvYsvautkr8G2XDK,https://api.spotify.com/v1/audio-analysis/1z9tECYvYsvautkr8G2XDK,220538,4
3xRzUblYGZhVs52fMjii7R,0.543,0.696,7,-4.572,1,0.0426,0.601,0.215,0.384,0.849,92.15,audio_features,3xRzUblYGZhVs52fMjii7R,spotify:track:3xRzUblYGZhVs52fMjii7R,https://api.spotify.com/v1/tracks/3xRzUblYGZhVs52fMjii7R,https://api.spotify.com/v1/audio-analysis/3xRzUblYGZhVs52fMjii7R,253747,4
0t3BGP2os4LjXL9TVQn6O0,0.506,0.329,7,-13.313,1,0.064,0.261,0.158,0.0682,0.503,200.133,audio_features,0t3BGP2os4LjXL9TVQn6O0,spotify:track:0t3BGP2os4LjXL9TVQn6O0,https://api.spotify.com/v1/tracks/0t3BGP2os4LjXL9TVQn6O0,https://api.spotify.com/v1/audio-analysis/0t3BGP2os4LjXL9TVQn6O0,236663,3
6YQUuoMnRIMaOmouYoMfQr,0.552,0.804,8,-4.299,1,0.0303,0.00598,0,0.111,0.714,95.98,audio_features,6YQUuoMnRIMaOmouYoMfQr,spotify:track:6YQUuoMnRIMaOmouYoMfQr,https://api.spotify.com/v1/tracks/6YQUuoMnRIMaOmouYoMfQr,https://api.spotify.com/v1/audio-analysis/6YQUuoMnRIMaOmouYoMfQr,199413,4
59oXRNRnmmTbwgkZkV7l4g,0.337,0.809,0,-2.969,0,0.0327,0.00738,0.000272,0.319,0.319,145.879,audio_features,59oXRNRnmmTbwgkZkV7l4g,spotify:track:59oXRNRnmmTbwgkZkV7l4g,https://api.spotify.com/v1/tracks/59oXRNRnmmTbwgkZkV7l4g,https://api.spotify.com/v1/audio-analysis/59oXRNRnmmTbwgkZkV7l4g,258200,4
7HFgnF1oPMzkCqEMBOA2yI,0.445,0.773,2,-7.227,1,0.0441,0.00539,0.153,0.131,0.313,191.966,audio_features,7HFgnF1oPMzkCqEMBOA2yI,spotify:track:7HFgnF1oPMzkCqEMBOA2yI,https://api.spotify.com/v1/tracks/7HFgnF1oPMzkCqEMBOA2yI,https://api.spotify.com/v1/audio-analysis/7HFgnF1oPMzkCqEMBOA2yI,265096,4
37BUkaNK1CO2Bhiazr664V,0.392,0.669,3,-5.445,1,0.031,0.019,6.59E-06,0.0534,0.512,160.014,audio_features,37BUkaNK1CO2Bhiazr664V,spotify:track:37BUkaNK1CO2Bhiazr664V,https://api.spotify.com/v1/tracks/37BUkaNK1CO2Bhiazr664V,https://api.spotify.com/v1/audio-analysis/37BUkaNK1CO2Bhiazr664V,259030,3
40Uq8mjn19gIAtHIG6ERZ6,0.603,0.842,9,-4.677,0,0.0388,0.124,1.58E-06,0.56,0.384,90.035,audio_features,40Uq8mjn19gIAtHIG6ERZ6,spotify:track:40Uq8mjn19gIAtHIG6ERZ6,https://api.spotify.com/v1/tracks/40Uq8mjn19gIAtHIG6ERZ6,https://api.spotify.com/v1/audio-analysis/40Uq8mjn19gIAtHIG6ERZ6,219200,4
3UlvUnyiwwQFXTOpt0DlIU,0.374,0.976,9,-5.347,1,0.206,0.0123,0.00603,0.0512,0.144,99.934,audio_features,3UlvUnyiwwQFXTOpt0DlIU,spotify:track:3UlvUnyiwwQFXTOpt0DlIU,https://api.spotify.com/v1/tracks/3UlvUnyiwwQFXTOpt0DlIU,https://api.spotify.com/v1/audio-analysis/3UlvUnyiwwQFXTOpt0DlIU,224444,4
4Me2Cf0Pp3OF518iN201oO,0.455,0.753,6,-5.519,0,0.0439,0.0629,7.01E-06,0.119,0.267,126.286,audio_features,4Me2Cf0Pp3OF518iN201oO,spotify:track:4Me2Cf0Pp3OF518iN201oO,https://api.spotify.com/v1/tracks/4Me2Cf0Pp3OF518iN201oO,https://api.spotify.com/v1/audio-analysis/4Me2Cf0Pp3OF518iN201oO,262013,4
3NyovXfcpc8PDWWKH7xEDs,0.568,0.961,9,-2.182,1,0.065,0.00428,0,0.138,0.924,148.126,audio_features,3NyovXfcpc8PDWWKH7xEDs,spotify:track:3NyovXfcpc8PDWWKH7xEDs,https://api.spotify.com/v1/tracks/3NyovXfcpc8PDWWKH7xEDs,https://api.spotify.com/v1/audio-analysis/3NyovXfcpc8PDWWKH7xEDs,195173,4
5EhLJxspK9SAIjUJfKQA6m,0.62,0.768,8,-5.681,0,0.103,0.0328,0.0599,0.225,0.748,172.09,audio_features,5EhLJxspK9SAIjUJfKQA6m,spotify:track:5EhLJxspK9SAIjUJfKQA6m,https://api.spotify.com/v1/tracks/5EhLJxspK9SAIjUJfKQA6m,https://api.spotify.com/v1/audio-analysis/5EhLJxspK9SAIjUJfKQA6m,209653,4
75vYT7rkUS3AizWDYChNAK,0.548,0.837,2,-6.045,1,0.0431,0.00601,9.6E-05,0.32,0.369,118.034,audio_features,75vYT7rkUS3AizWDYChNAK,spotify:track:75vYT7rkUS3AizWDYChNAK,https://api.spotify.com/v1/tracks/75vYT7rkUS3AizWDYChNAK,https://api.spotify.com/v1/audio-analysis/75vYT7rkUS3AizWDYChNAK,231275,4
