song_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,aures__id,uri,track_href,analysis_url,duration_ms,time_signature
5NRl32BO29q8xtWFvOlHZE,0.388,0.372,6,-5.72,1,0.0468,0.928,0,0.146,0.285,89.701,audio_features,5NRl32BO29q8xtWFvOlHZE,spotify:track:5NRl32BO29q8xtWFvOlHZE,https://api.spotify.com/v1/tracks/5NRl32BO29q8xtWFvOlHZE,https://api.spotify.com/v1/audio-analysis/5NRl32BO29q8xtWFvOlHZE,254507,4
41WTP0gosjYD74B06uS2tL,0.531,0.347,0,-7.044,1,0.0345,0.905,0,0.0935,0.289,114.441,audio_features,41WTP0gosjYD74B06uS2tL,spotify:track:41WTP0gosjYD74B06uS2tL,https://api.spotify.com/v1/tracks/41WTP0gosjYD74B06uS2tL,https://api.spotify.com/v1/audio-analysis/41WTP0gosjYD74B06uS2tL,224743,4
5hwh37sTi84MVhCBMWzhGE,0.477,0.242,8,-9.162,1,0.0529,0.928,0,0.0818,0.488,43.509,audio_features,5hwh37sTi84MVhCBMWzhGE,spotify:track:5hwh37sTi84MVhCBMWzhGE,https://api.spotify.com/v1/tracks/5hwh37sTi84MVhCBMWzhGE,https://api.spotify.com/v1/audio-analysis/5hwh37sTi84MVhCBMWzhGE,207973,4
0mel2N9Ws9r4yLQn5QE21Y,0.653,0.378,5,-8.273,1,0.0533,0.658,0,0.177,0.54,91.835,audio_features,0mel2N9Ws9r4yLQn5QE21Y,spotify:track:0mel2N9Ws9r4yLQn5QE21Y,https://api.spotify.com/v1/tracks/0mel2N9Ws9r4yLQn5QE21Y,https://api.spotify.com/v1/audio-analysis/0mel2N9Ws9r4yLQn5QE21Y,201000,4
7IL3UOlcJ6nmcCMwpnlfcA,0.545,0.458,5,-4.6,0,0.0279,0.367,0,0.118,0.164,79.943,audio_features,7IL3UOlcJ6nmcCMwpnlfcA,spotify:track:7IL3UOlcJ6nmcCMwpnlfcA,https://api.spotify.com/v1/tracks/7IL3UOlcJ6nmcCMwpnlfcA,https://api.spotify.com/v1/audio-analysis/7IL3UOlcJ6nmcCMwpnlfcA,236360,4
1z1mMZtZW0gvR9FSPc7JpJ,0.65,0.171,6,-9.005,1,0.0519,0.921,0,0.127,0.284,119.522,audio_features,1z1mMZtZW0gvR9FSPc7JpJ,spotify:track:1z1mMZtZW0gvR9FSPc7JpJ,https://api.spotify.com/v1/tracks/1z1mMZtZW0gvR9FSPc7JpJ,https://api.spotify.com/v1/audio-analysis/1z1mMZtZW0gvR9FSPc7JpJ,173237,4
0P3wANnHa96Q7qOBzZrvD5,0.695,0.359,0,-7.676,1,0.0535,0.849,0,0.102,0.389,85.93,audio_features,0P3wANnHa96Q7qOBzZrvD5,spotify:track:0P3wANnHa96Q7qOBzZrvD5,https://api.spotify.com/v1/tracks/0P3wANnHa96Q7qOBzZrvD5,https://api.spotify.com/v1/audio-analysis/0P3wANnHa96Q7qOBzZrvD5,198550,4
4L2K7JKseFCBoHMZEAszW0,0.435,0.155,1,-8.948,1,0.046,0.873,0,0.107,0.0935,128.532,audio_features,4L2K7JKseFCBoHMZEAszW0,spotify:track:4L2K7JKseFCBoHMZEAszW0,https://api.spotify.com/v1/tracks/4L2K7JKseFCBoHMZEAszW0,https://api.spotify.com/v1/audio-analysis/4L2K7JKseFCBoHMZEAszW0,287693,3
6z9VXT3rQMzY6zQaQAts2t,0.522,0.503,11,-6.198,0,0.0543,0.718,2.84E-06,0.0935,0.367,132.893,audio_features,6z9VXT3rQMzY6zQaQAts2t,spotify:track:6z9VXT3rQMzY6zQaQAts2t,https://api.spotify.com/v1/tracks/6z9VXT3rQMzY6zQaQAts2t,https://api.spotify.com/v1/audio-analysis/6z9VXT3rQMzY6zQaQAts2t,174730,4
3ioJ2eGWcONEvna37MpsiE,0.41,0.462,8,-7.534,1,0.0515,0.5,0,0.0975,0.354,139.861,audio_features,3ioJ2eGWcONEvna37MpsiE,spotify:track:3ioJ2eGWcONEvna37MpsiE,https://api.spotify.com/v1/tracks/3ioJ2eGWcONEvna37MpsiE,https://api.spotify.com/v1/audio-analysis/3ioJ2eGWcONEvna37MpsiE,191308,3
